id,created_at,number of likes,number of re,text
1121094826697555968,2019-04-24 16:53:30,9,1,@NoYourFace yes
1121094742723432450,2019-04-24 16:53:10,23,0,"@souldeparture thanks, friend"
1121094681851506688,2019-04-24 16:52:55,9,0,@RyanDatBoiYT hmmmm
1121094653657403398,2019-04-24 16:52:49,21,0,@ICooKCerael no prob
1121094524015661056,2019-04-24 16:52:18,22682,1404,"5 Jobs I've Had:

1. Tweeting about Baconator
2. Tweeting about Frosty
3. Counting Chicken Nugget Retweets
4. Rappe… https://t.co/V20tSBBr5Q"
1121093158287413249,2019-04-24 16:46:52,3,0,@BigBobbyBuilds We're disappointed to hear this! Please DM us the restaurant location and your phone number so we can make this right.
1121081330979299328,2019-04-24 15:59:52,2,1,@ThotsuneMiku nope
1121078724026425344,2019-04-24 15:49:31,0,0,@SquareZack Hi there! Please DM us so we can assist you further. Thanks!
1121067820845010945,2019-04-24 15:06:11,0,0,"@Tintaytal Hola Tayra, por favor provéenos más detalles y tus datos por DM, ¡Saludos!"
1121063544026542080,2019-04-24 14:49:11,5,0,"@DMoneysIndustry That wasn't even a roast though, and we were tagged in it."
1121062999098318849,2019-04-24 14:47:01,11,0,@emzanotti Sorry the original tweet got deleted. 😭
1121062859776167937,2019-04-24 14:46:28,2,0,@xVisery It was a joke about the joke
1121062780411502592,2019-04-24 14:46:09,0,0,@noahimbriaco Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121062752888532993,2019-04-24 14:46:03,0,0,"@jxnisnotfunny Yeah, there goes the fun. Ah well"
1121059356261400576,2019-04-24 14:32:33,5,0,@SamTownsend00 Jan. 4th
1121058264266027009,2019-04-24 14:28:13,36,1,"@eye_deh Hope not, it's a fun post."
1121058017934565376,2019-04-24 14:27:14,7,0,@Bored_and_Alone Don't forget to tip your fedora
1121057858550927361,2019-04-24 14:26:36,28,0,@TeyelerJesse good point
1121057804108824578,2019-04-24 14:26:23,161,17,@HLiahh Guess you could rub your head against the side of the restaurant and see what happens
1121057609228931072,2019-04-24 14:25:36,7,1,@tfflight Probably Stanley. It's his cup.
1121057280605261828,2019-04-24 14:24:18,34,0,"@TeyelerJesse bacon is good, yes"
1121057193451753474,2019-04-24 14:23:57,88,0,"@Lilychild6 No, this is Wendy's"
1121057135067062272,2019-04-24 14:23:43,9,0,@Jaythekidd10 prove it
1121057081925218304,2019-04-24 14:23:31,107,2,"@thetoonager hey, wait"
1121057043736084481,2019-04-24 14:23:22,86,2,@__DOMKA nah
1121056997544214528,2019-04-24 14:23:11,1,0,@dmtobin9312 Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121056535768174592,2019-04-24 14:21:21,1,0,@TommyOG61 We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121055100548591619,2019-04-24 14:15:38,2,0,@cmichels We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1121033992449425408,2019-04-24 12:51:46,2,0,"@Aceto514 DM us, we would like to gather some additional details about your visit."
1121033900212486144,2019-04-24 12:51:24,3,0,"@MinaDog711 That’s not the quality we expect. Please DM us with info on this location, along with your number, and we'll make it up to you."
1121032310265139200,2019-04-24 12:45:05,2,0,@ot7cass We can help you with this. Please DM us the email address linked to your account.
1121031715475079168,2019-04-24 12:42:43,4,0,"@imBrandonMG That’s not the quality we expect. Please DM us with info on this location, along with your number, and we'll make it up to you."
1120920790088736770,2019-04-24 05:21:56,4,0,@ComeFlyWithMe89 Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1120912687704289280,2019-04-24 04:49:44,1,0,@bottledwottle That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1120893776166363138,2019-04-24 03:34:36,2,0,@CLUTCH3RHO We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1120892606148435969,2019-04-24 03:29:57,3,1,@kyantonioo Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1120891953418330113,2019-04-24 03:27:21,1,0,@Timst3r_ That doesn't look right! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1120862472662073344,2019-04-24 01:30:12,3,0,@theccdoctor That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1120857637686534145,2019-04-24 01:11:00,2,0,@_NoHeteroBro We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
